SPECIES,LONG_WGS84,LAT_WGS84
Microtus californicus,-122.381799,37.251624
Microtus californicus,-121.89,36.6
Microtus californicus,-118.034589,34.073972
Microtus californicus,-122.14288,37.317955
Microtus californicus,-118.89392,34.876003
Microtus californicus,-118.137195,34.123961
Microtus californicus,-117.5285,33.3812
Microtus californicus,-116.81556,34.16861
Microtus californicus,-116.82944,34.17167
Microtus californicus,-119.26,34.441
Microtus californicus,-118.17819,34.17167
Microtus californicus,-122.16799,37.431008
Microtus californicus,-121.90426,36.602688
Microtus californicus,-122.231988,37.823868
Microtus californicus,-121.79811,36.72202
Microtus californicus,-122.639138,38.234073
Microtus californicus,-122.227132,37.484841
Microtus californicus,-122.16165,37.7424
Microtus californicus,-116.78,32.64
Microtus californicus,-117.083,32.64
Microtus californicus,-116.4861,33.5447
Microtus californicus,-116.44,32.97
Microtus californicus,-117.2886,34.0486
Microtus californicus,-116.6,33.07
Microtus californicus,-116.664705,33.76334
Microtus californicus,-116.693016,33.666839
Microtus californicus,-116.599508,32.949608
Microtus californicus,-116.7139,33.0806
Microtus californicus,-117.332,34.198
Microtus californicus,-117.45548,34.029523
Microtus californicus,-116.189,32.618
Microtus californicus,-116.36,32.97
Microtus californicus,-116.925,32.9905
Microtus californicus,-122.1347,38.2106
Microtus californicus,-124.2623,40.60969
Microtus californicus,-124.0327,40.5216
Microtus californicus,-121.426853,37.744623
Microtus californicus,-121,36.89
Microtus californicus,-122.24708,37.880386
Microtus californicus,-123.120833,40.7525
Microtus californicus,-122.635446,40.664469
Microtus californicus,-122.6853,37.9094
Microtus californicus,-122.398523,41.602448
Microtus californicus,-119.8218,36.8838
Microtus californicus,-119.7017,36.8252
Microtus californicus,-121.32522,38.214641
Microtus californicus,-121.787167,39.191667
Microtus californicus,-121.810728,39.228243
Microtus californicus,-121.90591,39.18758
Microtus californicus,-121.717887,38.829168
Microtus californicus,-121.773333,39.688667
Microtus californicus,-122.240262,38.886353
Microtus californicus,-121.913042,37.881695
Microtus californicus,-124.2623,40.5807
Microtus californicus,-120.838802,39.205933
